text,category
Meeting with team tomorrow,Work
Project discussion in office,Work
Deadline reminder for project,Work
Client meeting at 3 PM,Work
Submit the report by evening,Work
Team standup meeting today,Work
Project review scheduled,Work
Office presentation tomorrow,Work
Work update required urgently,Work
Schedule a call with manager,Work
Your Amazon order delivered,Promotions
Big discount on electronics,Promotions
Limited time sale today,Promotions
50 percent off on clothing,Promotions
Special deal on smartphones,Promotions
Flash sale starting now,Promotions
Buy one get one free offer,Promotions
Huge online shopping sale,Promotions
Mega festival sale offer,Promotions
Exclusive shopping discount,Promotions
Family dinner tonight,Personal
Trip plan with friends,Personal
Call parents this evening,Personal
Birthday party invitation,Personal
Let's go for a movie,Personal
Weekend outing plan,Personal
Dinner at my house tonight,Personal
Family function invitation,Personal
Meet me tomorrow evening,Personal
Friend wedding invitation,Personal
You won lottery claim prize,Spam
Congratulations you won money,Spam
Click here to get free cash,Spam
Earn money quickly from home,Spam
Claim your reward now,Spam
Free gift waiting for you,Spam
Urgent prize notification,Spam
You have been selected for prize,Spam
Win big cash instantly,Spam
Limited time reward claim,Spam